crawl	query_url	error
CC-MAIN-2009-2010	theroomz.yoyo.pl/about.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fabout.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/tescik.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Ftescik.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/ile.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2File.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/sciemka.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fsciemka.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/Redirect.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2FRedirect.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/paper/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fpaper%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/hof.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fhof.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/rules.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Frules.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/bonus.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fbonus.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/solutions.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fsolutions.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/cannon.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fcannon.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/check.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fcheck.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/sciemka.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fsciemka.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/yoyo.pnq	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fyoyo.pnq&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/about.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fabout.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/paper/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fpaper%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/bonus.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fbonus.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/rules.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Frules.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/tescik.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Ftescik.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/solutions.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fsolutions.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/ile.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2File.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.org/bonus.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.org%2Fbonus.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/hof.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fhof.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	www.theroomz.yoyo.pl/cannon.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=www.theroomz.yoyo.pl%2Fcannon.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.org/solutions.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.org%2Fsolutions.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.org/rules.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.org%2Frules.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.org/tescik.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.org%2Ftescik.swf&matchType=exact&output=json: <urlopen error timed out>')
